,id,localizerSaliency,beeID,xpos,ypos,camID,zrotation,timestamp,frameIdx,confidence,bee_id
0,f12216158499295016399d0c0,0.563833475112915,"[3.632903e-05, 0.0013966262, 0.99999964, 3.877282e-05, 0.00038412213, 0.013422966, 0.0028657913, 2.7298927e-05, 0.95276576, 8.34465e-06, 0.9999987, 0.0073339343]",612.1553888320923,263.9402313232422,0,0.006421167,0.0,0,0.8600531,2592
1,f12216158499295016399d1c0,0.6977327466011047,"[0.99929976, 0.9999989, 3.6984682e-05, 0.9999635, 0.9999906, 0.9999988, 0.1754787, 1.2487173e-05, 0.99999714, 0.9999995, 1.0, 0.0012613535]",487.1945743560791,151.17595672607422,0,-0.32866216,0.0,0,0.646368,1756
0,f10461665648433104743d0c0,0.7258180379867554,"[6.854534e-07, 1.0, 0.9998294, 0.99996674, 1.1920929e-07, 7.1525574e-07, 0.0012086928, 0.00031417608, 2.0861626e-07, 1.4901161e-07, 1.0, 3.9339066e-06]",661.7434272766113,239.31886100769043,0,-0.26903492,0.3333333333333333,1,0.99653774,624
1,f10461665648433104743d1c0,0.6972662806510925,"[0.9971265, 0.9999994, 7.3224306e-05, 0.9996685, 1.0, 0.99999833, 0.0013691485, 1.4901161e-07, 0.9998423, 0.9999975, 0.9999989, 0.0029014945]",487.0471429824829,139.21900177001953,0,-0.22682753,0.3333333333333333,1,0.9846562,1756
0,f15300318239883702522d0c0,0.7193553447723389,"[2.682209e-07, 0.99999905, 0.99999475, 0.99999154, 8.940697e-08, 5.066395e-07, 9.2446804e-05, 5.662441e-07, 1.4901161e-07, 2.0861626e-07, 1.0, 7.4505806e-07]",724.7471551895142,226.1907081604004,0,-0.49010593,0.6666666666666666,2,0.9997807,624
1,f15300318239883702522d1c0,0.7090789675712585,"[0.99998987, 1.0, 1.0699034e-05, 0.99999917, 0.99999917, 0.99999785, 0.0001513958, 1.3411045e-06, 0.9999659, 0.9999989, 0.9999968, 0.0003348291]",500.2061004638672,126.70319747924805,0,-0.089560606,0.6666666666666666,2,0.9988991,1756
0,f13762902368529099415d0c0,0.7124841809272766,"[1.2069941e-05, 0.9948667, 0.9999981, 0.99993, 4.053116e-06, 1.0818243e-05, 0.0007981658, 2.7120113e-06, 5.9604645e-08, 1.1920929e-07, 0.9999989, 0.000819087]",775.0015926361084,188.8848648071289,0,-0.57318085,1.0,3,0.9863319,624
1,f13762902368529099415d1c0,0.6816163659095764,"[0.9999969, 0.99999964, 3.567338e-05, 0.99996793, 0.99999595, 0.9999857, 0.0001861155, 6.2584877e-07, 0.9998042, 0.99999857, 0.9999862, 0.004314244]",512.2993316650391,101.8095760345459,0,-0.3498644,1.0,3,0.9904055,1756
0,f11084817539723472500d0c0,0.6518322229385376,"[3.3676624e-06, 0.9943322, 0.99999845, 0.6520163, 1.1980534e-05, 1.3560057e-05, 0.006217897, 4.848838e-05, 1.975894e-05, 0.20851904, 0.99999845, 0.0009420514]",826.0508251190186,138.7610206604004,0,-0.4171199,1.3333333333333333,4,0.17269047,624
1,f11084817539723472500d1c0,0.688755989074707,"[0.9999379, 0.99999785, 8.9496374e-05, 0.99999905, 0.9999994, 0.999828, 3.1292439e-06, 6.854534e-07, 0.99999416, 1.0, 0.9997917, 0.43944216]",525.6907501220703,125.97198295593262,0,-0.5915977,1.3333333333333333,4,0.120983645,1756
0,f17362888790915122155d0c0,0.6744658350944519,"[6.735325e-06, 0.9999951, 0.99982053, 0.9988543, 1.180172e-05, 1.7881393e-06, 0.006632954, 2.3663044e-05, 5.4836273e-06, 2.7924776e-05, 0.9999697, 4.917383e-06]",875.2944755554199,151.3012809753418,0,-0.4352022,1.6666666666666667,5,0.9838885,624
1,f17362888790915122155d1c0,0.681267261505127,"[0.9999857, 0.9999994, 2.7954578e-05, 0.99999857, 0.999998, 0.9975321, 5.993247e-05, 5.6028366e-06, 0.9999865, 0.9999958, 0.9998047, 0.010664374]",538.2511119842529,113.9447135925293,0,-0.34036955,1.6666666666666667,5,0.97320825,1756
0,f14808871799917297300d0c0,0.6775948405265808,"[4.4703484e-06, 1.0, 0.99997866, 0.9884213, 5.8710575e-06, 4.6789646e-06, 0.0003286004, 3.361702e-05, 5.9604645e-07, 2.9206276e-06, 0.9999869, 1.0728836e-06]",925.4752750396729,126.64386940002441,0,-0.23759805,2.0,6,0.9760295,624
1,f14808871799917297300d1c0,0.6528125405311584,"[0.999998, 0.9999994, 0.000103116035, 0.9999982, 0.99999905, 0.9972102, 0.0002925396, 8.940697e-06, 0.99997425, 0.99252856, 0.9999865, 0.0005594492]",550.9408416748047,113.96292304992676,0,-0.22715034,2.0,6,0.9775861,1756
1,f15320033379955127261d1c0,0.6713678240776062,"[0.9999417, 0.99999964, 7.3611736e-06, 0.99996614, 0.9999937, 0.9999995, 7.43866e-05, 2.0861626e-07, 0.9999845, 0.99999654, 1.0, 0.00032123923]",587.9295921325684,113.94328308105469,0,-0.5069073,2.3333333333333335,7,0.9989574,1756
0,f15320033379955127261d0c0,0.6558558940887451,"[0.000723511, 1.0, 0.99999845, 0.9332943, 1.8388033e-05, 2.2351742e-06, 0.0036286414, 3.8146973e-05, 1.758337e-06, 0.035383433, 0.9965611, 9.030104e-06]",976.2540130615234,138.93648529052734,0,0.28255618,2.3333333333333335,7,0.792659,624
0,f16672681218172061953d0c0,0.6409578919410706,"[0.00011858344, 1.0, 0.9999821, 0.997769, 6.2286854e-06, 7.1525574e-07, 0.0023036003, 3.695488e-06, 3.2484531e-06, 0.0021817088, 0.9995365, 5.1259995e-06]",1000.5325050354004,151.65442085266113,0,0.14435889,2.6666666666666665,8,0.98540634,624
1,f16672681218172061953d1c0,0.6588185429573059,"[0.67988575, 0.984184, 0.012011081, 0.99712557, 0.9985825, 0.99054736, 0.09122068, 0.28926957, 0.9975642, 0.9992505, 0.5153757, 0.76907516]",601.8932514190674,126.74743270874023,0,-0.11964713,2.6666666666666665,8,0.0018739273,4060
0,f15019165896995000463d0c0,0.6811469793319702,"[0.9992539, 0.9998172, 0.0033424199, 0.99842644, 0.9999739, 0.99996877, 0.008415878, 0.0031495988, 0.9998791, 0.99964774, 0.9998423, 0.0025309622]",589.5683746337891,163.65928840637207,0,-0.1520707,3.0,9,0.9593839,1756
0,f13337337377066802435d0c0,0.7058081030845642,"[0.9999956, 1.0, 7.8082085e-06, 0.99999964, 0.9999989, 0.99999785, 8.1032515e-05, 3.9428473e-05, 0.99998224, 0.99946696, 0.9999987, 3.8951635e-05]",576.617259979248,138.81874656677246,0,0.120917015,3.3333333333333335,10,0.9985458,1756
1,f13337337377066802435d1c0,0.6231942176818848,"[3.287196e-05, 0.9999981, 0.9999714, 0.9908313, 7.4893236e-05, 3.951788e-05, 7.0005655e-05, 1.13248825e-05, 1.4007092e-06, 0.0033451915, 0.99999285, 1.40964985e-05]",1026.5577430725098,113.92494773864746,0,-0.089526296,3.3333333333333335,10,0.97454554,624
0,f15704284008065496817d0c0,0.7287129759788513,"[0.9999598, 1.0, 6.145239e-05, 1.0, 0.99999964, 1.0, 1.9818544e-05, 1.7881393e-07, 0.99908364, 1.0, 1.0, 0.00029951334]",601.0162773132324,126.80045509338379,0,0.20884196,3.6666666666666665,11,0.997326,1756
1,f14812046444819355388d1c0,0.5866180062294006,"[1.7940998e-05, 1.0, 0.99995387, 0.9989146, 1.1622906e-06, 1.2516975e-06, 0.0006032586, 2.503395e-06, 3.7252903e-06, 0.0015257597, 0.99995315, 1.2218952e-06]",999.8013763427734,138.9454402923584,0,-0.18333642,4.0,12,0.993344,624
0,f14812046444819355388d0c0,0.6998488903045654,"[0.95808905, 1.0, 4.4435263e-05, 0.9999707, 0.99999857, 1.0, 0.00017142296, 4.172325e-07, 0.998128, 0.99999607, 0.99999225, 0.012724757]",601.0264854431152,152.08721351623535,0,0.12476207,4.0,12,0.8890588,1756
0,f12425980324987430618d0c0,0.713822066783905,"[0.9999325, 0.99999845, 3.784895e-05, 0.9999831, 0.9999957, 0.99998283, 3.656745e-05, 5.1647425e-05, 0.999972, 0.9998646, 0.99998355, 0.0021395385]",601.7325019836426,164.06906700134277,0,0.2735413,4.333333333333333,13,0.9948979,1756
1,f12425980324987430618d1c0,0.6642694473266602,"[5.632639e-06, 1.0, 0.9999745, 0.99931705, 8.523464e-06, 1.9967556e-06, 0.011542171, 2.9444695e-05, 5.8740377e-05, 0.00045633316, 0.9999492, 3.2484531e-06]",999.961986541748,151.43720245361328,0,0.054918956,4.333333333333333,13,0.97433245,624
0,f13476681662763576895d0c0,0.6984861493110657,"[0.9999988, 0.9999993, 1.4960766e-05, 0.9999982, 1.0, 0.9999938, 8.8483095e-05, 2.861023e-06, 0.9999988, 0.99983144, 1.0, 5.030632e-05]",601.3451042175293,176.2502956390381,0,0.2682315,4.666666666666667,14,0.9993276,1756
1,f13476681662763576895d1c0,0.6413928270339966,"[1.6987324e-05, 1.0, 0.99995565, 0.99754226, 3.194809e-05, 1.0967255e-05, 0.018777639, 2.5868416e-05, 5.4836273e-06, 0.00019547343, 0.99996865, 3.8444996e-06]",1013.136962890625,163.5954647064209,0,0.31440863,4.666666666666667,14,0.9570125,624
0,f12281061654837114652d0c0,0.6273642778396606,"[0.00018808246, 1.0, 0.99998736, 0.9962579, 8.106232e-06, 2.9802322e-07, 0.011845976, 3.7550926e-06, 4.5895576e-06, 0.18206117, 0.9815155, 2.9206276e-05]",1012.717866897583,176.71243286132812,0,0.3135194,5.0,15,0.59309447,624
1,f12281061654837114652d1c0,0.7226060032844543,"[1.0, 1.0, 6.854534e-07, 1.0, 1.0, 0.9999969, 0.00018295646, 1.4334917e-05, 0.99999917, 0.9999974, 0.9999784, 7.420778e-05]",588.7211208343506,176.48175811767578,0,0.32633448,5.0,15,0.9993994,1756
0,f10284176889444182303d0c0,0.640524685382843,"[3.4719706e-05, 1.0, 0.9999871, 0.99989915, 1.50203705e-05, 1.0728836e-06, 0.0031203926, 1.9669533e-06, 2.3752451e-05, 0.016008794, 0.99911433, 9.059906e-06]",1012.8046188354492,176.73802185058594,0,0.3334426,5.333333333333333,16,0.95985466,624
1,f10284176889444182303d1c0,0.7003328204154968,"[1.0, 1.0, 2.026558e-06, 1.0, 1.0, 0.9999962, 6.213784e-05, 1.013279e-06, 0.9999981, 0.99999964, 0.99999905, 5.543232e-06]",575.9951171875,176.55216789245605,0,0.40112978,5.333333333333333,16,0.9998445,1756
1,f18275680513871731873d1c0,0.637111485004425,"[1.3738871e-05, 1.0, 0.999984, 0.9953009, 8.34465e-06, 8.34465e-07, 0.023473859, 3.8444996e-06, 1.1950731e-05, 0.00020200014, 0.9998399, 1.2516975e-06]",999.8823909759521,164.06882286071777,0,0.1399113,5.666666666666667,17,0.9433061,624
0,f18275680513871731873d0c0,0.7058051228523254,"[0.9999993, 1.0, 6.943941e-06, 0.99999404, 0.9999993, 0.99999964, 0.00075021386, 1.2516975e-06, 0.9999969, 0.9999995, 0.9999994, 8.5264444e-05]",625.3734531402588,189.43959999084473,0,0.3175428,5.666666666666667,17,0.9982891,1756
0,f13791390853787965448d0c0,0.7177228927612305,"[0.9991166, 0.99999964, 0.00017648935, 0.9999957, 1.0, 1.0, 0.012945443, 1.7881393e-07, 0.9999498, 1.0, 1.0, 0.0003453195]",661.9482746124268,201.9635124206543,0,0.29560348,6.0,18,0.97126657,1756
1,f13791390853787965448d1c0,0.5963765978813171,"[6.556511e-07, 1.0, 0.9999354, 0.9993795, 8.940697e-08, 3.516674e-06, 0.00076314807, 1.6391277e-06, 1.1026859e-06, 6.854534e-07, 0.99999666, 1.4901161e-07]",1012.2933559417725,138.70577239990234,0,-0.14681484,6.0,18,0.9970834,624
0,f10603499538739037245d0c0,0.7137599587440491,"[0.998793, 0.99999964, 3.874302e-07, 0.9999399, 1.0, 1.0, 0.01014328, 3.0994415e-06, 0.9998288, 0.9999957, 0.9999988, 0.041363776]",686.0161476135254,215.14794921875,0,0.5525994,6.333333333333333,19,0.89606345,1756
1,f10603499538739037245d1c0,0.5959199070930481,"[5.3942204e-06, 1.0, 0.9997112, 0.9997414, 4.142523e-06, 5.811453e-06, 0.0005300939, 1.1324883e-06, 6.556511e-06, 8.285046e-06, 0.99999833, 1.5497208e-06]",999.4217643737793,139.5887680053711,0,-0.05987405,6.333333333333333,19,0.99777746,624
0,f16391742335233902529d0c0,0.6248294115066528,"[0.98481846, 0.9999988, 0.58979094, 0.99999547, 1.0, 0.99999857, 1.3709068e-06, 2.3841858e-07, 0.9999993, 1.0, 0.99999833, 0.007914156]",726.3071994781494,263.74957275390625,0,0.65907234,6.666666666666667,20,0.17136922,3836
0,f12753981083887675837d0c0,0.6599966287612915,"[3.0994415e-06, 1.0, 0.9999324, 0.99905056, 5.7846308e-05, 6.377697e-06, 0.001062274, 4.9591064e-05, 1.8388033e-05, 4.4226646e-05, 0.99999845, 3.2782555e-07]",987.61155128479,138.9935531616211,0,-0.19088131,7.0,21,0.9954847,624
0,f13855386822318641233d0c0,0.6807184219360352,"[4.1127205e-05, 1.0, 0.9999982, 0.95366144, 6.261468e-05, 1.6987324e-06, 0.0013139248, 2.5331974e-06, 1.7881393e-07, 0.0015610754, 0.99961394, 2.592802e-06]",1014.0860843658447,163.7335662841797,0,0.34470767,7.333333333333333,22,0.9012139,624
1,f16234814773103265734d1c0,0.6580941677093506,"[0.0036273003, 1.0, 0.9999558, 0.99931777, 9.715557e-06, 3.1292439e-06, 0.0011160374, 3.33786e-06, 1.4662743e-05, 0.003822118, 0.9849326, 9.953976e-06]",1012.2128858566284,201.83610153198242,0,0.49530184,7.666666666666667,23,0.9518738,624
0,f16234814773103265734d0c0,0.714381754398346,"[0.9836537, 0.99999654, 9.655952e-06, 0.99955577, 0.99999964, 1.0, 0.0019215047, 3.427267e-06, 0.99525625, 0.99999964, 0.9999945, 0.0034117699]",786.2180862426758,239.57133674621582,0,0.41396838,7.666666666666667,23,0.9470501,1756
0,f11995718727937557124d0c0,0.6496981382369995,"[0.018364817, 1.0, 0.9999654, 0.9953277, 5.1259995e-06, 7.95722e-06, 0.00023531914, 1.9311905e-05, 6.222725e-05, 2.8043985e-05, 0.98547727, 3.59118e-05]",1037.5477981567383,239.42237281799316,0,0.7616519,8.0,24,0.9257581,624
1,f11995718727937557124d1c0,0.7189385294914246,"[0.00025957823, 0.99999344, 8.407235e-05, 0.970266, 1.0, 0.9999871, 0.9595138, 2.9802322e-08, 0.9981996, 0.99999964, 0.9999938, 0.99969566]",824.5441951751709,214.50880432128906,0,-0.18752612,8.0,24,0.8601018,3934
0,f18047549188414112906d0c0,0.652134895324707,"[0.3219828, 1.0, 0.999925, 0.9999298, 1.9073486e-06, 1.4603138e-06, 0.0014244318, 2.592802e-06, 4.082918e-06, 0.0004605353, 0.9961265, 6.696582e-05]",1050.8052978515625,239.59967803955078,0,0.6553975,8.333333333333334,25,0.35178888,624
1,f18047549188414112906d1c0,0.7108548879623413,"[0.012989908, 0.99999225, 8.7976456e-05, 0.9959443, 0.9999993, 0.9999993, 0.014007807, 0.0072329044, 0.9988819, 1.0, 0.99998677, 0.99859613]",874.1745014190674,176.80370330810547,0,0.028199252,8.333333333333334,25,0.9206035,1884
0,f12011383730953098756d0c0,0.6508619785308838,"[0.0019602478, 0.99999297, 0.9999833, 0.97139263, 6.780028e-05, 1.6093254e-06, 0.0010505617, 6.431341e-05, 1.642108e-05, 0.8256936, 0.97287977, 0.00040385127]",1076.891544342041,214.28217697143555,0,0.36362824,8.666666666666666,26,0.5766488,3696
1,f12011383730953098756d1c0,0.7151675820350647,"[0.99050057, 0.9999918, 2.682209e-06, 0.99985874, 0.9999049, 1.0, 0.000954926, 0.1370095, 0.9982324, 0.99999833, 0.9999888, 0.005956739]",886.8472766876221,177.0798397064209,0,-0.10838358,8.666666666666666,26,0.6995125,1756
2,f15554798149699398911d2c0,0.6761725544929504,"[0.46280873, 0.9999654, 0.000708729, 0.9898162, 0.9999789, 0.99999917, 0.55954117, 0.01926735, 0.99645644, 0.9999994, 0.99999785, 0.5046717]",912.4584083557129,138.5961208343506,0,-0.5762915,9.0,27,7.727928e-05,3934
1,f15554798149699398911d1c0,0.6878814101219177,"[0.00039672852, 0.9999974, 0.9997824, 0.9941532, 0.00023403764, 0.00011745095, 0.0038520098, 6.517768e-05, 2.321601e-05, 0.0002233386, 0.99995434, 0.00015422702]",1126.6295909881592,201.39332962036133,0,0.106817916,9.0,27,0.97779304,624
0,f15554798149699398911d0c0,0.5915250778198242,"[0.56730705, 0.8643298, 0.88349795, 0.8215269, 0.8561415, 0.7589941, 0.66838235, 0.8994824, 0.9202027, 0.9482551, 0.9706909, 0.97382134]",1062.297327041626,264.10001945495605,0,0.4753181,9.0,27,0.0032280243,2047
0,f12335977123391354328d0c0,0.6596348285675049,"[0.018485755, 0.99999845, 0.9998921, 0.9969938, 1.1891127e-05, 5.364418e-06, 0.0010735989, 0.00018107891, 5.3346157e-06, 0.0040664077, 0.8860021, 0.0001962781]",1188.617416381836,226.7715606689453,0,0.15124594,9.333333333333334,28,0.7306633,624
1,f12335977123391354328d1c0,0.5560906529426575,"[0.9742187, 0.99954396, 0.00991264, 0.99973196, 0.9999417, 0.9997981, 0.00074750185, 0.005882144, 0.9956108, 0.99948776, 0.44121435, 0.60997933]",937.0290946960449,101.80106163024902,0,-0.39866102,9.333333333333334,28,0.023444217,1500
0,f9871860311605702021d0c0,0.6909899711608887,"[7.5906515e-05, 0.99999857, 0.99578, 0.9983228, 0.00015231967, 0.0007145405, 0.011614293, 3.7252903e-06, 1.1920929e-07, 4.2021275e-06, 0.9997658, 9.5665455e-06]",1250.2512607574463,252.06695747375488,0,-0.04308568,9.666666666666666,29,0.96297127,624
1,f9871860311605702021d1c0,0.5563920736312866,"[0.92898715, 0.9999969, 0.0008918643, 0.9973853, 0.99999857, 0.9999993, 0.9739909, 4.068017e-05, 0.9993056, 1.0, 0.9999989, 0.4117759]",950.2290306091309,126.38693809509277,0,-0.6355303,9.666666666666666,29,0.1422967,3806
0,f9343107513611756696d0c0,0.6919494271278381,"[0.0013603568, 0.99999714, 0.99960023, 0.21761781, 0.002339244, 0.00019600987, 0.00016871095, 4.8577785e-06, 5.9604645e-07, 1.4603138e-06, 0.9954124, 1.1265278e-05]",1299.9268493652344,265.25404357910156,0,0.037132334,10.0,30,0.55457705,2656
1,f9343107513611756696d1c0,0.676018476486206,"[0.89679724, 0.9999987, 0.0020880997, 0.9979943, 0.99999917, 0.9999975, 0.94706386, 5.066395e-06, 0.9944794, 0.9999964, 0.99998856, 0.9121568]",999.9569797515869,139.28224754333496,0,-0.47962302,10.0,30,0.57369924,2014
0,f11563033568565395092d0c0,0.6892749071121216,"[0.01176852, 0.9999238, 0.981398, 0.97788334, 0.0001848638, 5.683303e-05, 0.00059974194, 1.4692545e-05, 6.2584877e-07, 5.8054924e-05, 0.99066585, 0.00037559867]",1350.6432437896729,251.99070167541504,0,-0.19845048,10.333333333333334,31,0.8793672,624
1,f11563033568565395092d1c0,0.6335719227790833,"[0.87965333, 0.914993, 0.92935526, 0.77706206, 0.7922995, 0.9376354, 0.9760467, 0.89943767, 0.88732237, 0.88188314, 0.7342805, 0.883465]",1074.733338356018,88.58935546875,0,-1.859315,10.333333333333334,31,0.024813376,2047
0,f18412100339080584888d0c0,0.5822760462760925,"[0.41192123, 0.609461, 0.5113549, 0.8051134, 0.15425646, 0.0065071285, 0.0077911913, 0.0035983026, 0.051363766, 0.07116774, 0.33523187, 0.5252545]",1374.37824344635,239.79775047302246,0,-0.28618866,10.666666666666666,32,4.566119e-06,368
0,f12778703607629378064d0c0,0.6501986384391785,"[0.3129358, 0.7226276, 0.63883364, 0.94450843, 0.005571246, 0.0059545636, 0.001989305, 0.0009019375, 0.14315051, 0.24191797, 0.47787935, 0.46147737]",1374.4003238677979,252.47787475585938,0,-0.10107587,11.333333333333334,34,5.015985e-05,2160
1,f12778703607629378064d1c0,0.6461281776428223,"[0.022511452, 0.9997379, 3.4719706e-05, 0.989394, 0.99999785, 0.99999917, 0.7396866, 1.5825033e-05, 0.99734384, 0.9999975, 0.9999876, 0.41425645]",1175.0605640411377,102.59420013427734,0,-0.20105037,11.333333333333334,34,0.07638118,1630
0,f18088730622012612327d0c0,0.5679672360420227,"[0.031787395, 0.90453845, 0.69568765, 0.021806061, 0.002559185, 0.0055823326, 0.0049411952, 0.0016413927, 0.010246962, 0.05425948, 0.50260067, 0.33580923]",1374.986701965332,277.47999000549316,0,0.1825296,11.666666666666666,35,0.00041063663,2656
1,f18088730622012612327d1c0,0.6779228448867798,"[0.9613779, 0.9993563, 0.06522277, 0.99930656, 0.9999987, 0.99999833, 0.08514011, 3.0130148e-05, 0.97528195, 0.9999186, 0.99963105, 0.039292514]",1188.2840118408203,127.11543083190918,0,-0.17230101,11.666666666666666,35,0.58099097,1756
1,f11954252883199736033d1c0,0.6702523827552795,"[0.9910409, 0.9997969, 0.6540224, 0.98652285, 0.9999982, 0.9999951, 0.3660397, 0.00016751885, 0.9086738, 0.9957676, 0.94865125, 0.019817322]",1200.5512504577637,139.92540550231934,0,0.030701214,12.0,36,0.055038102,3836
0,f11954252883199736033d0c0,0.6126760840415955,"[0.5982115, 0.9483617, 0.99223083, 0.92476624, 0.5687161, 0.57383657, 0.0068074465, 0.014348626, 0.067296624, 0.92062116, 0.9120593, 0.8034355]",1350.9807090759277,276.1617069244385,0,1.1819036,12.0,36,0.0010429138,4092
1,f11649995985061112812d1c0,0.6631028652191162,"[0.99990785, 0.99997663, 0.15535283, 0.99992466, 0.99999857, 0.9999794, 0.21566504, 0.0020249188, 0.28683457, 0.9995061, 0.94338596, 0.009976]",1199.1323671340942,190.57986450195312,0,0.5733802,12.333333333333334,37,0.14444232,3804
0,f11649995985061112812d0c0,0.6810236573219299,"[0.02953595, 0.99993074, 0.99913424, 0.9504958, 0.039371133, 0.0036036372, 0.0010374784, 4.1604042e-05, 3.0636787e-05, 0.0015363395, 0.5799369, 0.0008123815]",1351.1017379760742,252.44638442993164,0,0.20132059,12.333333333333334,37,0.122877955,624
